Record_ID,Timestamp,Container_ID,Shipment_ID,Product_Name,Origin_City,Destination_City,Temperature_C,Humidity_percentage,Vibration_Level,Travel_Distance_KM,Remaining_Distance_KM,Transit_Time_Hours,Shelf_Life_Remaining_Hours,Spoilage_Risk_percentage,Quality_Score,Product_Weight_KG,Market_Price_per_KG,Estimated_Revenue,Estimated_Loss,Arbitrage_Profit,Recommended_Action,Alert_Level
21130,35:00.7,CONT-22129,SHIP-26129,Avocado,Nagpur,Kolkata,20.89,64.61,5.08,336,95.6,5.3,149,48.81,51.19,3312,102,337824,164882.07,172941.93,Immediate Delivery,Yellow
15934,14:00.7,CONT-16933,SHIP-20933,Potato,Chennai,Lucknow,22.01,82.04,4.64,1559,1193.45,24.77,82,69.7,30.3,2880,158,455040,317171.23,137868.77,Immediate Delivery,Yellow
7506,22:00.7,CONT-8505,SHIP-12505,Grapes,Pune,Kolkata,11.12,75.47,4.18,1167,325.37,19.11,188,41.9,58.1,2478,146,361788,151584.36,210203.64,Immediate Delivery,Yellow
28526,45:00.7,CONT-29525,SHIP-33525,Mango,Nagpur,Jaipur,19.21,89.27,3.95,1739,1463.52,33.59,60,72.28,27.72,3993,81,323433,233772.24,89660.76,Reroute,Red
19439,14:00.7,CONT-20438,SHIP-24438,Banana,Bengaluru,Ahmedabad,21.71,73.13,5.27,443,49.39,8.44,188,55.74,44.26,3863,81,312903,174416.19,138486.81,Immediate Delivery,Yellow
14466,23:00.7,CONT-15465,SHIP-19465,Mango,Chennai,Ahmedabad,,46.33,5.87,1213,919.56,25.69,225,56.96,43.04,3302,134,442468,252030.57,190437.43,Immediate Delivery,Yellow
5928,03:00.7,CONT-6927,SHIP-10927,Tomato,Bengaluru,Jaipur,14.12,78.68,2.53,1427,137.23,22.66,63,51.31,48.69,3356,137,459772,235910.29,223861.71,Immediate Delivery,Yellow
17932,24:00.7,CONT-18931,SHIP-22931,Avocado,Hyderabad,Lucknow,12.83,58.09,7.1,1312,848.4,23.67,94,41.11,58.89,4788,147,703836,289313.15,414522.85,Immediate Delivery,Yellow
27710,50:00.7,CONT-28709,SHIP-32709,Avocado,Bengaluru,Kolkata,22.1,64.63,3.95,1567,1264.88,26.31,106,63.85,36.15,610,93,56730,36219.64,20510.36,Immediate Delivery,Yellow
24531,24:00.7,CONT-25530,SHIP-29530,Orange,Nashik,Delhi,,86.87,5.69,1476,1325,24.35,210,59.16,40.84,4109,99,406791,240640.41,166150.59,Immediate Delivery,Yellow
8874,52:00.7,CONT-9873,SHIP-13873,Apple,Bengaluru,Ahmedabad,18.26,63.68,3.65,2014,998.52,35.58,164,61.34,38.66,4982,,836976,513382.55,323593.45,Immediate Delivery,Yellow
10382,33:00.7,CONT-11381,SHIP-15381,Apple,Pune,Lucknow,16.04,48.41,3.38,472,320.83,9.35,149,35.06,64.94,3514,82,288148,101037.58,187110.42,Continue,Green
5552,18:00.7,CONT-6551,SHIP-10551,Apple,Pune,Delhi,,51.58,6.72,1140,868.27,23.13,150,42.68,57.32,2680,102,273360,116681.7,156678.3,Immediate Delivery,Yellow
21732,49:00.7,CONT-22731,SHIP-26731,Mango,Nagpur,Kolkata,13.84,52.68,5.07,1435,97.62,21.13,203,39.44,60.56,1940,85,164900,65031.83,99868.17,Continue,Green
2677,38:00.7,CONT-3676,SHIP-7676,Tomato,Bengaluru,Kolkata,,63.97,3.57,1040,119.72,19.2,147,39.28,60.72,1428,62,88536,34776.93,53759.07,Continue,Green
1093,50:00.7,CONT-2092,SHIP-6092,Grapes,Bengaluru,Delhi,,64.62,4.2,873,446.85,15.17,166,54.61,45.39,3801,124,471324,257397.54,213926.46,Immediate Delivery,Yellow
19079,31:00.7,CONT-20078,SHIP-24078,Banana,Bengaluru,Kolkata,18.58,72.66,1,1822,661.58,26.3,80,60,40,2392,166,397072,238253.2,158818.8,Immediate Delivery,Yellow
24445,43:00.7,CONT-25444,SHIP-29444,Mango,Chennai,Kolkata,12.87,57.45,1.9,1528,1148.17,23.79,92,41,59,1485,81,120285,49317.43,70967.57,Immediate Delivery,Yellow
16275,41:00.7,CONT-17274,SHIP-21274,Avocado,Bengaluru,Delhi,15.78,63.36,1.86,856,289.26,15.2,95,44.03,55.97,4608,106,488448,215050.8,273397.2,Immediate Delivery,Yellow
8138,39:00.7,CONT-9137,SHIP-13137,Banana,Hyderabad,Delhi,18.89,52.33,3.99,1964,1593.92,43.07,25,62.55,37.45,544,110,59840,37429.42,22410.58,Immediate Delivery,Yellow
2623,43:00.7,CONT-3622,SHIP-7622,Orange,Bengaluru,Ahmedabad,18.06,73.9,5.95,1709,578.25,37.89,222,66.41,33.59,1831,83,151973,100923.37,51049.63,Immediate Delivery,Yellow
10481,05:00.7,CONT-11480,SHIP-15480,Grapes,Bengaluru,Mumbai,27.73,72.89,3.78,644,430.58,9.78,130,68.49,31.51,2204,173,381292,261158.61,120133.39,Immediate Delivery,Yellow
12913,04:00.7,CONT-13912,SHIP-17912,Avocado,Hyderabad,Lucknow,16.92,64.21,4.84,909,657.73,19.84,181,49.42,50.58,3459,54,186786,92316.79,94469.21,Immediate Delivery,Yellow
2586,24:00.7,CONT-3585,SHIP-7585,Mango,Nagpur,Ahmedabad,13.54,62.96,6.53,1327,513.88,19.11,103,41.72,58.28,2714,109,295826,123432.06,172393.94,Immediate Delivery,Yellow
20102,41:00.7,CONT-21101,SHIP-25101,Tomato,Nashik,Mumbai,14.42,68.76,3.9,2460,1198.33,35.89,217,55.88,44.12,3465,101,349965,195574.94,154390.06,Immediate Delivery,Yellow
12801,16:00.7,CONT-13800,SHIP-17800,Avocado,Nagpur,Delhi,15.61,65.12,5.52,979,94.79,15.13,61,44.34,55.66,2493,101,251793,111655.26,140137.74,Immediate Delivery,Yellow
21035,29:00.7,CONT-22034,SHIP-26034,Orange,Bengaluru,Delhi,21.28,64.11,5.1,1822,1536.43,34.74,164,67.06,32.94,4789,161,771029,517015,254014,Immediate Delivery,Yellow
18305,52:00.7,CONT-19304,SHIP-23304,Mango,Nashik,Kolkata,11.72,68.16,4.41,1218,380.49,18.23,192,39.63,60.37,4614,168,775152,307226.79,467925.21,Continue,Green
5728,25:00.7,CONT-6727,SHIP-10727,Grapes,Nashik,Kolkata,20.2,77.27,7.68,1823,1318.42,26.61,46,65.27,34.73,4652,103,479156,312764.51,166391.49,Immediate Delivery,Yellow
25156,22:00.7,CONT-26155,SHIP-30155,Grapes,Pune,Jaipur,16.17,59.23,4.59,1349,601.87,27.34,138,50.43,49.57,4738,159,753342,379896.99,373445.01,Immediate Delivery,Yellow
24801,42:00.7,CONT-25800,SHIP-29800,Tomato,Chennai,Lucknow,17.58,77.48,2.98,2265,451.8,36.76,179,66.21,33.79,1579,81,127899,84677.48,43221.52,Immediate Delivery,Yellow
22276,35:00.7,CONT-23275,SHIP-27275,Mango,Bengaluru,Jaipur,22.97,77.27,3.32,1760,112.99,26.21,121,70.57,29.43,1832,144,263808,186173.35,77634.65,Reroute,Red
3639,49:00.7,CONT-4638,SHIP-8638,Mango,Bengaluru,Lucknow,23.51,69.77,2.92,2155,916.34,35.16,106,74.02,25.98,3456,69,238464,176503.8,61960.2,Reroute,Red
4739,06:00.7,CONT-5738,SHIP-9738,Apple,Bengaluru,Kolkata,22.7,76.75,1.69,1343,1078.33,21.41,147,66.95,33.05,4829,103,497387,333017.9,164369.1,Immediate Delivery,Yellow
29816,04:00.7,CONT-30815,SHIP-34815,Potato,Hyderabad,Ahmedabad,20.85,52.86,4,2077,1004.15,31.74,61,59.89,40.11,2451,169,414219,248088.99,166130.01,Immediate Delivery,Yellow
26038,36:00.7,CONT-27037,SHIP-31037,Orange,Pune,Jaipur,25.09,88.31,2.54,2331,601.69,42.62,111,89.08,10.92,4036,113,456068,406248.5,49819.5,Reroute,Red
3470,06:00.7,CONT-4469,SHIP-8469,Tomato,Nagpur,Jaipur,17.72,82.23,4.17,369,141.71,6.8,48,50.41,49.59,1580,67,105860,53360.07,52499.93,Immediate Delivery,Yellow
5101,29:00.7,CONT-6100,SHIP-10100,Banana,Chennai,Lucknow,,63.68,3.24,2103,1203.12,34.3,118,59.96,40.04,3749,66,247434,148349.87,99084.13,Immediate Delivery,Yellow
15669,19:00.7,CONT-16668,SHIP-20668,Apple,Hyderabad,Lucknow,12.46,69.06,5.44,1969,642.87,29.03,43,47.96,52.04,2438,179,436402,209279.43,227122.57,Immediate Delivery,Yellow
12866,28:00.7,CONT-13865,SHIP-17865,Avocado,Hyderabad,Lucknow,23.12,77.17,2.24,915,570.27,17.6,134,65.66,34.34,1902,47,89394,58698.62,30695.38,Immediate Delivery,Yellow
24343,50:00.7,CONT-25342,SHIP-29342,Grapes,Bengaluru,Kolkata,15.84,62.78,5.86,1286,983.27,20.87,103,47.3,52.7,1566,171,267786,126668.11,141117.89,Immediate Delivery,Yellow
13165,47:00.7,CONT-14164,SHIP-18164,Apple,Bengaluru,Mumbai,19.17,76.71,4.9,2439,1705.63,40.26,105,71.17,28.83,1165,150,174750,124369.75,50380.25,Reroute,Red
26503,27:00.7,CONT-27502,SHIP-31502,Grapes,Bengaluru,Jaipur,16.48,67.53,3.95,1023,552.62,16.05,37,47.6,52.4,1162,177,205674,97898.43,107775.57,Immediate Delivery,Yellow
2209,39:00.7,CONT-3208,SHIP-7208,Mango,Nagpur,Ahmedabad,,54.85,4.7,449,83.51,8.37,91,51.67,48.33,3856,139,535984,276931.37,259052.63,Immediate Delivery,Yellow
20513,34:00.7,CONT-21512,SHIP-25512,Grapes,Chennai,Mumbai,17.85,69.44,4.62,1483,602.69,32.22,101,60.8,39.2,4739,84,398076,242045.46,156030.54,Immediate Delivery,Yellow
16025,16:00.7,CONT-17024,SHIP-21024,Tomato,Nashik,Ahmedabad,19.15,80.36,4.39,1157,735.92,16.95,107,58.6,41.4,1044,46,48024,28144.07,19879.93,Immediate Delivery,Yellow
18110,52:00.7,CONT-19109,SHIP-23109,Apple,Chennai,Mumbai,19.68,69.8,5.4,1695,486.24,34.33,166,65.88,34.12,4792,137,656504,432512.9,223991.1,Immediate Delivery,Yellow
25287,15:00.7,CONT-26286,SHIP-30286,Tomato,Pune,Jaipur,18.25,43.73,6.74,1360,645.23,30.17,199,50.09,49.91,1516,51,77316,38725.5,38590.5,Immediate Delivery,Yellow
1677,46:00.7,CONT-2676,SHIP-6676,Apple,Hyderabad,Lucknow,14.57,66.88,3.52,2339,1991.72,42.3,188,59.27,40.73,1231,101,124331,73693.8,50637.2,Immediate Delivery,Yellow
9937,35:00.7,CONT-10936,SHIP-14936,Banana,Bengaluru,Lucknow,,75.47,3.34,2048,1272.61,40.01,109,65.8,34.2,2241,89,199449,131241.61,68207.39,Immediate Delivery,Yellow
3384,13:00.7,CONT-4383,SHIP-8383,Banana,Nashik,Kolkata,14.3,74.23,5.08,339,227.82,4.88,121,39.23,60.77,588,49,28812,11302.72,17509.28,Continue,Green
28586,13:00.7,CONT-29585,SHIP-33585,Apple,Hyderabad,Lucknow,16.07,,3.61,2067,1756.45,32.99,61,58.82,41.18,4983,45,224235,131896.37,92338.63,Immediate Delivery,Yellow
12571,20:00.7,CONT-13570,SHIP-17570,Grapes,Nagpur,Ahmedabad,27.03,,3.86,771,306.34,14.97,42,64.7,35.3,1356,127,172212,111422.47,60789.53,Immediate Delivery,Yellow
22825,03:00.7,CONT-23824,SHIP-27824,Grapes,Nashik,Mumbai,,65.77,5.66,1435,245.08,29.65,140,66.41,33.59,3563,154,548702,364373.48,184328.52,Immediate Delivery,Yellow
10958,20:00.7,CONT-11957,SHIP-15957,Potato,Hyderabad,Mumbai,25.92,64.81,4.07,2071,787.31,37.53,216,78.28,21.72,749,101,75649,59218.83,16430.17,Reroute,Red
21065,35:00.7,CONT-22064,SHIP-26064,Apple,Nashik,Kolkata,21.22,81.62,4.49,1144,344.1,24.19,92,67.61,32.39,3139,178,558742,377749.84,180992.16,Immediate Delivery,Yellow
23610,35:00.7,CONT-24609,SHIP-28609,Potato,Nagpur,Jaipur,28.78,68.85,1.46,1433,887.68,20.83,81,75.59,24.41,3925,134,525950,397571.97,128378.03,Reroute,Red
3231,40:00.7,CONT-4230,SHIP-8230,Potato,Nashik,Lucknow,18.59,59.57,3.33,1069,342.95,17.52,115,49.51,50.49,2638,91,240058,118859.81,121198.19,Immediate Delivery,Yellow
7582,26:00.7,CONT-8581,SHIP-12581,Tomato,Bengaluru,Delhi,19.72,59.79,5.66,1546,838.52,23.7,31,55.57,44.43,3650,117,427050,237318.75,189731.25,Immediate Delivery,Yellow
622,13:00.7,CONT-1621,SHIP-5621,Mango,Nashik,Ahmedabad,15.43,61.92,6.67,1252,619.83,21.09,54,46.28,53.72,896,141,126336,58465.4,67870.6,Immediate Delivery,Yellow
27839,38:00.7,CONT-28838,SHIP-32838,Grapes,Nagpur,Mumbai,9.68,82.14,,631,84.63,11.74,84,37.27,62.73,2467,141,347847,129631.27,218215.73,Continue,Green
6532,16:00.7,CONT-7531,SHIP-11531,Banana,Chennai,Kolkata,22.83,66.81,1,2443,880.6,46.46,124,78.27,21.73,1879,144,270576,211783.26,58792.74,Reroute,Red
13397,46:00.7,CONT-14396,SHIP-18396,Mango,Chennai,Ahmedabad,18.93,56.55,5.42,541,421.38,9.18,191,43.99,56.01,1995,179,357105,157084.34,200020.66,Immediate Delivery,Yellow
15491,56:00.7,CONT-16490,SHIP-20490,Avocado,Nashik,Kolkata,20.34,65.62,4.88,906,535,19.38,219,56.56,43.44,4249,75,318675,180249.55,138425.45,Immediate Delivery,Yellow
29482,42:00.7,CONT-30481,SHIP-34481,Avocado,Chennai,Mumbai,12.62,76.54,4.99,1250,328.24,19.79,141,45.72,54.28,644,60,38640,17667.72,20972.28,Immediate Delivery,Yellow
4833,51:00.7,CONT-5832,SHIP-9832,Orange,Nashik,Lucknow,24.62,73.54,5.04,1568,879.58,33.8,213,76.93,23.07,3096,118,365328,281040.62,84287.38,Reroute,Red
13361,08:00.7,CONT-14360,SHIP-18360,Potato,Nashik,Delhi,11.07,73.66,4.68,1955,346.19,32.26,72,48.96,51.04,3547,48,170256,83356.75,86899.25,Immediate Delivery,Yellow
26485,10:00.7,CONT-27484,SHIP-31484,Potato,Nagpur,Kolkata,9.52,84.58,4.61,514,78.3,8.39,155,35.9,64.1,2198,159,349482,125480.55,224001.45,Continue,Green
13166,03:00.7,CONT-14165,SHIP-18165,Potato,Nashik,Lucknow,14.09,67.91,3.78,351,266.04,5.89,188,36.88,63.12,2224,102,226848,83661.98,143186.02,Continue,Green
997,25:00.7,CONT-1996,SHIP-5996,Avocado,Hyderabad,Ahmedabad,16.4,68.68,4.12,1835,1335.74,30.46,172,56.55,43.45,2593,68,176324,99714,76610,Immediate Delivery,Yellow
8427,09:00.7,CONT-9426,SHIP-13426,Potato,Chennai,Kolkata,15.11,74.09,3.8,2011,1412.32,31.73,170,56.89,43.11,4808,112,538496,306360.85,232135.15,Immediate Delivery,Yellow
21255,45:00.7,CONT-22254,SHIP-26254,Potato,Hyderabad,Ahmedabad,23.66,56.93,3.99,768,637.33,14.97,32,57.08,42.92,4674,84,392616,224100.91,168515.09,Immediate Delivery,Yellow
12336,29:00.7,CONT-13335,SHIP-17335,Banana,Hyderabad,Lucknow,,63.24,4.26,1751,1267.57,37.72,133,63.91,36.09,4580,59,270220,172690.59,97529.41,Immediate Delivery,Yellow
211,42:00.7,CONT-1210,SHIP-5210,Apple,Chennai,Ahmedabad,50,98,2.73,1469,965.37,31.11,74,61.23,38.77,3690,109,402210,246282.55,155927.45,Immediate Delivery,Yellow
21375,48:00.7,CONT-22374,SHIP-26374,Avocado,Hyderabad,Jaipur,17.79,63.37,4.64,937,334.25,14.11,114,47.4,52.6,4199,44,184756,87576.68,97179.32,Immediate Delivery,Yellow
4872,10:00.7,CONT-5871,SHIP-9871,Avocado,Chennai,Jaipur,17.18,69.04,6.14,2423,2098.97,52.42,110,71.44,28.56,4752,165,784080,560132.48,223947.52,Reroute,Red
16041,29:00.7,CONT-17040,SHIP-21040,Mango,Nashik,Mumbai,16.98,,3.13,863,698.19,17.75,168,48.26,51.74,1599,55,87945,42443.36,45501.64,Immediate Delivery,Yellow
25258,20:00.7,CONT-26257,SHIP-30257,Tomato,Chennai,Kolkata,14.89,80.83,4.96,347,132.16,6.14,49,43.8,56.2,908,81,73548,32215.15,41332.85,Immediate Delivery,Yellow
9028,12:00.7,CONT-10027,SHIP-14027,Grapes,Hyderabad,Ahmedabad,14.32,47.96,5.26,2088,1678.81,31.37,64,44.64,55.36,4611,145,668595,298463.34,370131.66,Immediate Delivery,Yellow
21472,14:00.7,CONT-22471,SHIP-26471,Tomato,Hyderabad,Mumbai,20.52,71.58,1.67,1233,1082.22,23.69,220,61.89,38.11,3740,96,359040,222227.69,136812.31,Immediate Delivery,Yellow
28878,14:00.7,CONT-29877,SHIP-33877,Banana,Nashik,Ahmedabad,15.56,65.84,3.11,1867,1349.42,32.86,123,55.18,44.82,1350,108,145800,80448.07,65351.93,Immediate Delivery,Yellow
1331,28:00.7,CONT-2330,SHIP-6330,Potato,Chennai,Delhi,,77.71,3.23,1275,882.34,22.89,75,54.43,45.57,901,100,90100,49045.35,41054.65,Immediate Delivery,Yellow
